split,accuracy,roc_auc,f1,n_features
0,0.6557507987220448,0.8291104839285897,0.6365935608213921,16074
1,0.6493610223642172,0.81851827278697,0.631174004775227,16175
2,0.6605431309904153,0.8218564886171477,0.6360104773645978,16128
3,0.6797124600638977,0.8282705073373551,0.6614088879768776,16348
4,0.6605431309904153,0.8147130725025263,0.6428609076634201,16225
5,0.6789137380191693,0.8282326552276741,0.6624277356288969,15994
6,0.6421725239616614,0.8085946404815129,0.6232122481462662,16294
7,0.6597444089456869,0.8225799317471173,0.640806968782345,16108
8,0.6741214057507987,0.8297246237755479,0.654448473643059,16092
9,0.6493610223642172,0.8257165531953986,0.6277604866989338,16048
